Store,State,Date,Sales,MSA,DistributionCenter
Store-Fort Pierce FL,FL,1/2/2020,5683.03,,DC-1
Store-Fort Pierce FL,FL,1/3/2020,5049.33,,DC-1
Store-Fort Pierce FL,FL,1/6/2020,2481.96,,DC-1
Store-Fort Pierce FL,FL,1/7/2020,746.21,,DC-1
Store-Fort Pierce FL,FL,1/8/2020,4250.81,,DC-1
Store-Fort Pierce FL,FL,1/9/2020,3868.02,,DC-1
Store-Fort Pierce FL,FL,1/10/2020,4511.04,,DC-1
Store-Fort Pierce FL,FL,1/13/2020,2878.69,,DC-1
Store-Fort Pierce FL,FL,1/14/2020,3390.51,,DC-1
Store-Fort Pierce FL,FL,1/15/2020,60.57,,DC-1
Store-Fort Pierce FL,FL,1/16/2020,4797.46,,DC-1
Store-Fort Pierce FL,FL,1/17/2020,5175.02,,DC-1
Store-Fort Pierce FL,FL,1/20/2020,3425.94,,DC-1
Store-Fort Pierce FL,FL,1/21/2020,3333.51,,DC-1
Store-Fort Pierce FL,FL,1/23/2020,3111.39,,DC-1
Store-Fort Pierce FL,FL,1/24/2020,2409.56,,DC-1
Store-Fort Pierce FL,FL,1/27/2020,1493.45,,DC-1
Store-Fort Pierce FL,FL,1/28/2020,3707.63,,DC-1
Store-Fort Pierce FL,FL,1/29/2020,108.47,,DC-1
Store-Fort Pierce FL,FL,1/30/2020,1295.03,,DC-1
Store-Fort Pierce FL,FL,1/31/2020,4162.62,,DC-1
Store-Fort Pierce FL,FL,2/3/2020,6008.03,,DC-1
Store-Fort Pierce FL,FL,2/4/2020,5365.22,,DC-1
Store-Fort Pierce FL,FL,2/5/2020,327.77,,DC-1
Store-Fort Pierce FL,FL,2/6/2020,2702.46,,DC-1
Store-Fort Pierce FL,FL,2/7/2020,4021.01,,DC-1
Store-Fort Pierce FL,FL,2/10/2020,3400.40,,DC-1
Store-Fort Pierce FL,FL,2/11/2020,2805.31,,DC-1
Store-Fort Pierce FL,FL,2/13/2020,954.60,,DC-1
Store-Fort Pierce FL,FL,2/14/2020,1625.48,,DC-1
Store-Fort Pierce FL,FL,2/17/2020,421.69,,DC-1
Store-Fort Pierce FL,FL,2/18/2020,9840.04,,DC-1
Store-Fort Pierce FL,FL,2/19/2020,96.73,,DC-1
Store-Fort Pierce FL,FL,2/20/2020,2297.91,,DC-1
Store-Fort Pierce FL,FL,2/21/2020,3918.04,,DC-1
Store-Fort Pierce FL,FL,2/24/2020,4115.66,,DC-1
Store-Fort Pierce FL,FL,2/25/2020,3948.87,,DC-1
Store-Fort Pierce FL,FL,2/26/2020,86.42,,DC-1
Store-Fort Pierce FL,FL,2/27/2020,1079.56,,DC-1
Store-Fort Pierce FL,FL,2/28/2020,2800.97,,DC-1
Store-Fort Pierce FL,FL,3/2/2020,6488.37,,DC-1
Store-Fort Pierce FL,FL,3/3/2020,4783.47,,DC-1
Store-Fort Pierce FL,FL,3/4/2020,3554.79,,DC-1
Store-Fort Pierce FL,FL,3/5/2020,3617.29,,DC-1
Store-Fort Pierce FL,FL,3/6/2020,4802.69,,DC-1
Store-Fort Pierce FL,FL,3/9/2020,4114.30,,DC-1
Store-Fort Pierce FL,FL,3/10/2020,2314.56,,DC-1
Store-Fort Pierce FL,FL,3/11/2020,1778.63,,DC-1
Store-Fort Pierce FL,FL,3/12/2020,3628.30,,DC-1
Store-Fort Pierce FL,FL,3/13/2020,3302.63,,DC-1
Store-Fort Pierce FL,FL,3/16/2020,1717.28,,DC-1
Store-Fort Pierce FL,FL,3/17/2020,5424.60,,DC-1
Store-Fort Pierce FL,FL,3/18/2020,30.03,,DC-1
Store-Fort Pierce FL,FL,3/19/2020,4203.40,,DC-1
Store-Fort Pierce FL,FL,3/20/2020,4898.57,,DC-1
Store-Fort Pierce FL,FL,3/23/2020,3483.00,,DC-1
Store-Fort Pierce FL,FL,3/24/2020,2414.18,,DC-1
Store-Fort Pierce FL,FL,3/26/2020,1599.74,,DC-1
Store-Fort Pierce FL,FL,3/27/2020,4919.71,,DC-1
Store-Fort Pierce FL,FL,3/30/2020,656.46,,DC-1
Store-Fort Pierce FL,FL,3/31/2020,1692.61,,DC-1
Store-Fort Pierce FL,FL,4/1/2020,1190.09,,DC-1
Store-Fort Pierce FL,FL,4/2/2020,4391.80,,DC-1
Store-Fort Pierce FL,FL,4/3/2020,3988.49,,DC-1
Store-Fort Pierce FL,FL,4/6/2020,3249.59,,DC-1
Store-Fort Pierce FL,FL,4/7/2020,2738.37,,DC-1
Store-Fort Pierce FL,FL,4/8/2020,278.36,,DC-1
Store-Fort Pierce FL,FL,4/9/2020,2769.71,,DC-1
Store-Fort Pierce FL,FL,4/10/2020,1541.70,,DC-1
Store-Fort Pierce FL,FL,4/13/2020,2984.61,,DC-1
Store-Fort Pierce FL,FL,4/14/2020,4345.72,,DC-1
Store-Fort Pierce FL,FL,4/16/2020,621.85,,DC-1
Store-Fort Pierce FL,FL,4/17/2020,3499.79,,DC-1
Store-Fort Pierce FL,FL,4/20/2020,1484.15,,DC-1
Store-Fort Pierce FL,FL,4/21/2020,2286.03,,DC-1
Store-Fort Pierce FL,FL,4/22/2020,185.01,,DC-1
Store-Fort Pierce FL,FL,4/23/2020,1869.22,,DC-1
Store-Fort Pierce FL,FL,4/24/2020,3612.43,,DC-1
Store-Fort Pierce FL,FL,4/27/2020,1400.23,,DC-1
Store-Fort Pierce FL,FL,4/28/2020,3605.07,,DC-1
Store-Fort Pierce FL,FL,4/30/2020,79.47,,DC-1
Store-Fort Pierce FL,FL,5/1/2020,7799.61,,DC-1
Store-Fort Pierce FL,FL,5/4/2020,3929.07,,DC-1
Store-Fort Pierce FL,FL,5/5/2020,3006.72,,DC-1
Store-Fort Pierce FL,FL,5/6/2020,1565.11,,DC-1
Store-Fort Pierce FL,FL,5/7/2020,2700.69,,DC-1
Store-Fort Pierce FL,FL,5/11/2020,3235.58,,DC-1
Store-Fort Pierce FL,FL,5/12/2020,2637.10,,DC-1
Store-Fort Pierce FL,FL,5/13/2020,129.12,,DC-1
Store-Fort Pierce FL,FL,5/14/2020,4794.81,,DC-1
Store-Fort Pierce FL,FL,5/15/2020,2742.67,,DC-1
Store-Fort Pierce FL,FL,5/18/2020,3032.88,,DC-1
Store-Fort Pierce FL,FL,5/19/2020,2465.56,,DC-1
